Customer ID,AllConnect,Budget Billing,Autopay,Self-Service Registered,Mobile App Download,eBill,Digital Channel Usage,AI Chatbot,Green Score
US00015000,False,False,True,True,True,False,False,False,3.0
US00015001,False,False,False,False,True,True,False,False,3.0
US00015002,True,False,False,False,True,True,False,False,3.5
US00015003,False,True,True,True,True,True,True,False,7.0
US00015004,False,False,True,False,False,False,False,False,1.0
US00015005,True,True,True,True,True,True,True,False,7.5
US00015006,True,False,True,True,True,True,True,False,7.0
US00015007,True,True,False,True,True,True,False,True,5.5
US00015008,False,False,True,True,False,True,True,False,5.5
US00015009,False,True,True,False,True,True,True,False,6.0
US00015010,True,False,True,False,False,False,False,False,1.5
US00015011,True,True,True,True,True,True,True,False,7.5
US00015012,False,True,True,False,True,True,False,True,5.0
US00015013,False,False,True,False,True,False,False,False,2.0
US00015014,False,True,True,False,True,True,True,True,6.5
US00015015,False,False,True,False,False,False,True,True,3.0
US00015016,False,False,True,False,False,True,False,False,3.0
US00015017,False,True,False,False,True,True,False,False,3.5
US00015018,False,True,True,False,True,True,True,False,6.0
US00015019,True,False,True,False,True,True,True,False,6.0
US00015020,False,False,True,False,True,False,True,False,3.5
US00015021,False,False,False,False,False,False,True,False,1.5
US00015022,False,True,True,False,False,True,False,False,3.5
US00015023,False,False,True,False,True,False,False,False,2.0
US00015024,True,False,True,False,True,True,True,False,6.0
US00015025,False,True,True,False,True,False,True,False,4.0
US00015026,False,False,True,False,False,True,False,False,3.0
US00015027,True,True,False,False,True,True,True,False,5.5
US00015028,True,True,True,False,True,True,True,False,6.5
US00015029,False,True,True,False,True,False,False,True,3.0
US00015030,True,True,True,False,True,False,True,True,5.0
US00015031,False,True,True,True,True,True,True,True,7.5
US00015032,True,True,False,False,True,True,False,True,4.5
US00015033,False,False,True,False,True,True,False,False,4.0
US00015034,False,True,False,False,False,True,False,False,2.5
US00015035,False,True,True,True,False,True,True,True,6.5
US00015036,False,False,True,False,False,False,True,True,3.0
US00015037,False,True,True,True,True,True,True,False,7.0
US00015038,True,True,True,False,True,True,True,False,6.5
US00015039,False,True,True,False,True,True,True,False,6.0
US00015040,False,False,False,True,True,True,False,False,4.0
US00015041,False,False,True,False,True,False,True,False,3.5
US00015042,False,True,False,False,False,True,False,False,2.5
US00015043,False,False,True,False,True,True,False,True,4.5
US00015044,False,True,True,False,True,False,False,False,2.5
US00015045,True,False,True,False,True,True,True,False,6.0
US00015046,False,True,True,False,True,True,False,False,4.5
US00015047,False,True,False,False,True,False,True,False,3.0
US00015048,True,True,False,False,True,True,True,True,6.0
US00015049,True,True,True,False,True,False,True,True,5.0
US00015050,False,True,False,False,True,False,True,False,3.0
US00015051,False,False,True,False,True,True,True,False,5.5
US00015052,False,True,False,False,True,True,False,False,3.5
US00015053,True,True,True,True,True,True,False,False,6.0
US00015054,True,True,False,True,True,True,False,False,5.0
US00015055,False,False,True,False,False,False,False,False,1.0
US00015056,True,True,True,False,True,True,True,False,6.5
US00015057,False,False,True,False,True,False,False,False,2.0
US00015058,False,False,True,True,True,True,False,False,5.0
US00015059,False,False,True,True,False,False,True,False,3.5
US00015060,False,True,True,False,True,False,False,True,3.0
US00015061,False,False,False,False,True,True,False,False,3.0
US00015062,False,False,True,False,True,True,False,False,4.0
US00015063,False,False,True,False,True,True,False,False,4.0
