Customer ID,Month,Region,Fuel Type,Rate Type,kWh Usage,CCF Usage,Customer Count,HVAC % kWh,HVAC % CCF,Water Heater % kWh,Water Heater % CCF,Washer/Dryer % kWh,Washer/Dryer % CCF,Lighting % kWh,Lighting % CCF,Cooking % kWh,Cooking % CCF,Other Appliances % kWh,Other Appliances % CCF
US00015001,Jan 2024,Ohio,Gas,RGS - Residential General Service,0,45,1,0.0,7.5,0.0,10.48,0.0,9.0,0.0,2.28,0.0,13.74,0.0,2.0
US00015001,Feb 2024,Ohio,Gas,RGS - Residential General Service,0,44,1,0.0,14.99,0.0,16.43,0.0,1.71,0.0,1.87,0.0,6.86,0.0,2.14
US00015001,Mar 2024,Ohio,Gas,RGS - Residential General Service,0,64,1,0.0,15.57,0.0,0.62,0.0,10.44,0.0,15.4,0.0,16.34,0.0,5.63
US00015001,Apr 2024,Ohio,Gas,RGS - Residential General Service,0,120,1,0.0,38.97,0.0,32.7,0.0,28.68,0.0,6.38,0.0,13.14,0.0,0.13
US00015001,May 2024,Ohio,Gas,RGS - Residential General Service,0,53,1,0.0,3.46,0.0,2.26,0.0,21.97,0.0,4.92,0.0,13.95,0.0,6.43
US00015001,Jun 2024,Ohio,Gas,RGS - Residential General Service,0,138,1,0.0,21.34,0.0,9.37,0.0,45.61,0.0,6.21,0.0,44.46,0.0,11.01
US00015001,Jul 2024,Ohio,Gas,RGS - Residential General Service,0,63,1,0.0,17.72,0.0,7.01,0.0,20.63,0.0,6.06,0.0,6.17,0.0,5.41
US00015001,Aug 2024,Ohio,Gas,RGS - Residential General Service,0,145,1,0.0,17.05,0.0,10.6,0.0,50.81,0.0,29.87,0.0,34.0,0.0,2.66
US00015001,Sep 2024,Ohio,Gas,RGS - Residential General Service,0,34,1,0.0,4.52,0.0,1.34,0.0,9.63,0.0,13.68,0.0,4.31,0.0,0.53
US00015001,Oct 2024,Ohio,Gas,RGS - Residential General Service,0,129,1,0.0,30.15,0.0,18.89,0.0,21.92,0.0,35.05,0.0,16.06,0.0,6.93
US00015001,Nov 2024,Ohio,Gas,RGS - Residential General Service,0,119,1,0.0,11.43,0.0,10.79,0.0,9.06,0.0,66.29,0.0,20.12,0.0,1.31
US00015001,Dec 2024,Ohio,Gas,RGS - Residential General Service,0,144,1,0.0,0.42,0.0,40.26,0.0,16.07,0.0,3.74,0.0,80.05,0.0,3.46
US00015002,Jan 2024,Indiana,Electric,Rate 850 - TOU Residential Electric,880,0,1,50.95,0.0,342.23,0.0,30.03,0.0,111.66,0.0,133.12,0.0,212.01,0.0
US00015002,Feb 2024,Indiana,Electric,Rate 850 - TOU Residential Electric,405,0,1,23.41,0.0,7.9,0.0,44.57,0.0,55.04,0.0,91.06,0.0,183.01,0.0
US00015002,Mar 2024,Indiana,Electric,Rate 850 - TOU Residential Electric,1129,0,1,494.98,0.0,104.57,0.0,436.8,0.0,29.8,0.0,26.7,0.0,36.15,0.0
US00015002,Apr 2024,Indiana,Electric,Rate 850 - TOU Residential Electric,1029,0,1,119.6,0.0,35.64,0.0,400.91,0.0,283.92,0.0,31.23,0.0,157.7,0.0
US00015002,May 2024,Indiana,Electric,Rate 850 - TOU Residential Electric,571,0,1,113.28,0.0,74.69,0.0,252.3,0.0,21.86,0.0,14.87,0.0,93.99,0.0
US00015002,Jun 2024,Indiana,Electric,Rate 850 - TOU Residential Electric,675,0,1,79.24,0.0,74.02,0.0,41.42,0.0,193.45,0.0,180.25,0.0,106.61,0.0
US00015002,Jul 2024,Indiana,Electric,Rate 850 - TOU Residential Electric,995,0,1,94.13,0.0,57.13,0.0,176.23,0.0,57.94,0.0,29.59,0.0,579.99,0.0
US00015002,Aug 2024,Indiana,Electric,Rate 850 - TOU Residential Electric,524,0,1,0.56,0.0,124.99,0.0,93.46,0.0,173.98,0.0,44.81,0.0,86.19,0.0
US00015002,Sep 2024,Indiana,Electric,Rate 850 - TOU Residential Electric,678,0,1,69.38,0.0,92.55,0.0,173.25,0.0,333.75,0.0,8.76,0.0,0.3,0.0
US00015002,Oct 2024,Indiana,Electric,Rate 850 - TOU Residential Electric,797,0,1,9.0,0.0,351.16,0.0,122.82,0.0,240.97,0.0,40.99,0.0,32.07,0.0
US00015002,Nov 2024,Indiana,Electric,Rate 850 - TOU Residential Electric,1088,0,1,51.99,0.0,63.55,0.0,63.52,0.0,98.98,0.0,32.69,0.0,777.27,0.0
US00015002,Dec 2024,Indiana,Electric,Rate 850 - TOU Residential Electric,501,0,1,121.43,0.0,1.11,0.0,8.95,0.0,114.51,0.0,75.64,0.0,179.36,0.0
US00015003,Jan 2024,Kentucky,Gas and Electric,SGS - Small General Service,1133,134,1,52.77,6.24,79.44,9.4,773.56,91.49,110.29,13.04,28.95,3.42,88.0,10.41
US00015003,Feb 2024,Kentucky,Gas and Electric,SGS - Small General Service,700,123,1,305.13,53.62,47.86,8.41,68.75,12.08,31.64,5.56,131.23,23.06,115.38,20.27
US00015003,Mar 2024,Kentucky,Gas and Electric,SGS - Small General Service,741,66,1,105.87,9.43,323.94,28.85,151.04,13.45,107.66,9.59,25.66,2.29,26.83,2.39
US00015003,Apr 2024,Kentucky,Gas and Electric,SGS - Small General Service,1328,67,1,101.15,5.1,230.88,11.65,59.44,3.0,300.23,15.15,420.19,21.2,216.11,10.9
US00015003,May 2024,Kentucky,Gas and Electric,SGS - Small General Service,1251,89,1,106.77,7.6,439.12,31.24,95.58,6.8,57.25,4.07,531.27,37.8,21.01,1.49
US00015003,Jun 2024,Kentucky,Gas and Electric,SGS - Small General Service,744,64,1,31.41,2.7,437.35,37.62,120.92,10.4,1.34,0.12,43.25,3.72,109.73,9.44
US00015003,Jul 2024,Kentucky,Gas and Electric,SGS - Small General Service,1281,58,1,349.46,15.82,401.51,18.18,18.66,0.84,147.61,6.68,227.41,10.3,136.35,6.17
US00015003,Aug 2024,Kentucky,Gas and Electric,SGS - Small General Service,688,117,1,33.36,5.67,25.57,4.35,285.88,48.62,131.79,22.41,201.59,34.28,9.81,1.67
US00015003,Sep 2024,Kentucky,Gas and Electric,SGS - Small General Service,1008,150,1,97.86,14.56,44.6,6.64,166.3,24.75,254.57,37.88,232.82,34.65,211.84,31.52
US00015003,Oct 2024,Kentucky,Gas and Electric,SGS - Small General Service,1150,137,1,388.03,46.23,250.45,29.84,76.76,9.14,58.97,7.02,241.1,28.72,134.69,16.05
US00015003,Nov 2024,Kentucky,Gas and Electric,SGS - Small General Service,1068,125,1,164.92,19.3,202.64,23.72,25.82,3.02,200.76,23.5,91.99,10.77,381.87,44.69
US00015003,Dec 2024,Kentucky,Gas and Electric,SGS - Small General Service,1034,81,1,90.22,7.07,298.65,23.4,109.69,8.59,97.65,7.65,169.22,13.26,268.56,21.04
